NC1	NC2	NC3	NC4	PDR1	PDR2	PDR3	PDR4
P08185	17.3521641512492	17.1695727379707	17.818282583452	17.5894463366888	19.2150873972231	18.0688097610358	18.3991193448607	18.1074316490763
P08294	16.3593892533013	16.3152380293633	16.5519935765709	17.2100053893878	14.8393514362838	15.4568035829588	15.1912520340667	14.7020103080886
P08571	16.4090428174423	16.3596637810979	16.093355662529	16.1728181335743	16.4677169827639	16.0373324555243	16.1582151966638	16.1606593072174
P08603	18.2954909420821	17.61065000767	18.0268043810608	17.742875180794	18.5972523970152	18.8206838273059	18.4339195407522	18.8793020440849
P08697	17.9276390922982	17.684830788592	18.0664991799064	17.6561315346308	18.6906050615234	18.0791618246632	18.3792429726701	18.6074748072187
P09871	16.2139395740777	15.8463228884871	15.8408762500589	16.0244038356139	14.9780847743107	15.2893705255951	15.3243563713957	15.4959486891238
P0C0L4	16.4105838486378	17.1024678623593	15.9053399925524	17.4425709847361	16.0109214191905	16.6562013801946	17.3920490393642	16.4570762237993
P0C0L5	21.3845329325653	21.8602231392243	21.7635673808184	22.2478012183397	21.5589886387254	21.7171609680284	22.3384317273007	21.2368971013641
P0DOX5	16.040760609431	15.8835501795573	16.068169470599	15.0895746177302	15.6609151169887	16.4931830937501	15.7548614115224	15.2591179799685
P10643	16.1857465531287	15.6122349911453	14.8941546076811	16.6205635016216	14.4840046652617	16.6673333416052	15.995877538966	15.9176284819342
P10745	21.6011396453631	21.873726462062	21.3390300963853	21.5841697869207	20.9588641933751	21.5236787200742	20.2768513869177	20.9231040203184
P10909	21.2847789249482	21.0269529322144	21.6258693396669	20.9608447516948	21.0840765176891	20.7881957810226	21.0661181037886	20.6573533440664
P12109	14.0895332400456	14.2329455026843	14.2021238238305	14.6649472077551	14.2973461989467	13.3193898760002	14.6663904580126	13.9414144709429
P13645	16.1421669023711	16.6406121168489	16.6628908591391	16.3729330588419	16.7225407359694	16.7347625350066	17.0073339296735	17.8549535831041
P13671	16.1337242153741	14.2675913915057	13.6151698138436	14.7972562175098	16.3821680466808	16.193082535476	15.2379568133062	16.3601097773807
P16870	17.6209929816667	18.3997034995012	18.040300424742	18.539545065718	16.5949660220164	16.3908742745361	14.5640899323231	16.0292225113254
P19823	18.8254433020825	17.6006679214375	18.2376674538229	17.8607232777538	17.8011399584727	18.953076723943	17.5768090819694	17.380258121093
P19827	18.5146832375277	17.4261173060409	18.1327005362321	17.5275686377439	17.8102703724199	18.8838424881542	17.9063621681412	16.5789328181781
P22352	18.6094601262847	19.1961170102215	19.0792920588311	19.8801245654973	18.7478323929206	19.0487848503381	19.032250249248	18.9114036919029
P25311	19.0240466565246	18.6353071748253	19.2919440839547	19.4873258376722	19.5659945590822	19.0306617485433	19.4813855748371	20.2821789645234
P27169	16.1522650336381	14.7641977611468	16.099881982111	15.0571032985897	16.9791348764442	16.3639978223584	15.3890935219045	16.4601998950596
P29622	17.3484515374071	17.3373431472741	17.4454028931315	17.685036188546	17.9088265087322	17.6066076292478	17.5022257896295	17.9074188295953
P35527	15.5776648517648	15.9957229932774	15.1081160274119	13.9249980234467	15.7528510139018	15.6623624045052	16.1576627272085	16.6063762937293
P35858	15.7173283437512	15.5635240118679	14.9591869268449	14.3966047811819	16.2604050335537	14.9249052665083	15.9577822265669	15.7260318488727
P35908	14.7821791938312	15.4078652222249	13.9083926207737	15.5756869595215	16.0034520301075	16.1511553138975	16.4373294474424	16.9511708614341
P36222	17.5549485213619	17.6537547712582	17.3728820600954	18.5647672556982	16.9284489776627	17.301085305628	16.3466695457883	18.348192160957
P36955	21.6233260443655	22.2385306934646	22.1028714877944	21.8162836984202	21.3171100478437	21.0025073906676	21.6410356707123	21.325808304234
