dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
140	Data7	NC1	J3KPA1	-0.697871157174967	NC	vitreous	Yes	Orbitrap Fusion
141	Data7	NC1	J3KQ18	-2.04712277620503	NC	vitreous	Yes	Orbitrap Fusion
142	Data7	NC1	J3KQ66	0.567339934307321	NC	vitreous	Yes	Orbitrap Fusion
143	Data7	NC1	J3KRP0	-0.863501777917721	NC	vitreous	Yes	Orbitrap Fusion
144	Data7	NC1	K4DIA0	-0.710021647278044	NC	vitreous	Yes	Orbitrap Fusion
145	Data7	NC1	K7ELL7	0.370059472679519	NC	vitreous	Yes	Orbitrap Fusion
146	Data7	NC1	K7EPF9	0.47048362194708	NC	vitreous	Yes	Orbitrap Fusion
147	Data7	NC1	K7ER74	0.0838049856318063	NC	vitreous	Yes	Orbitrap Fusion
148	Data7	NC1	K7ERG9	0.406191124784728	NC	vitreous	Yes	Orbitrap Fusion
149	Data7	NC1	K7ES70	0.726380722935577	NC	vitreous	Yes	Orbitrap Fusion
150	Data7	NC1	M0QYN0	-1.51004058076733	NC	vitreous	Yes	Orbitrap Fusion
151	Data7	NC1	M9MML0	-0.13937019572861	NC	vitreous	Yes	Orbitrap Fusion
152	Data7	NC1	O00115	-0.0350632188035648	NC	vitreous	Yes	Orbitrap Fusion
153	Data7	NC1	O00187	-0.787355418714351	NC	vitreous	Yes	Orbitrap Fusion
154	Data7	NC1	O00391	0.995792189069042	NC	vitreous	Yes	Orbitrap Fusion
155	Data7	NC1	O00451	-0.586689112579299	NC	vitreous	Yes	Orbitrap Fusion
156	Data7	NC1	O00461	-0.0370968387196121	NC	vitreous	Yes	Orbitrap Fusion
157	Data7	NC1	O00462	0.440059390380277	NC	vitreous	Yes	Orbitrap Fusion
158	Data7	NC1	O00468-6	1.4286412520348	NC	vitreous	Yes	Orbitrap Fusion
159	Data7	NC1	O00533-2	1.17504001896666	NC	vitreous	Yes	Orbitrap Fusion
160	Data7	NC1	O00584	0.637016831369337	NC	vitreous	Yes	Orbitrap Fusion
161	Data7	NC1	O14498	-0.345523189083583	NC	vitreous	Yes	Orbitrap Fusion
162	Data7	NC1	O14594	1.46890631424021	NC	vitreous	Yes	Orbitrap Fusion
163	Data7	NC1	O14773	1.09307475642519	NC	vitreous	Yes	Orbitrap Fusion
164	Data7	NC1	O14786	-0.621898770432208	NC	vitreous	Yes	Orbitrap Fusion
165	Data7	NC1	O14791-2	0.336455535593588	NC	vitreous	Yes	Orbitrap Fusion
166	Data7	NC1	O14793	0.38802412593528	NC	vitreous	Yes	Orbitrap Fusion
167	Data7	NC1	O14960	-1.80906408055884	NC	vitreous	Yes	Orbitrap Fusion
168	Data7	NC1	O15031	0.764102085227142	NC	vitreous	Yes	Orbitrap Fusion
169	Data7	NC1	O15041	-0.368766472095106	NC	vitreous	Yes	Orbitrap Fusion
170	Data7	NC1	O15230	-1.58786400253713	NC	vitreous	Yes	Orbitrap Fusion
171	Data7	NC1	O15240	0.709370714197863	NC	vitreous	Yes	Orbitrap Fusion
172	Data7	NC1	O15354	0.701326770372829	NC	vitreous	Yes	Orbitrap Fusion
173	Data7	NC1	O15394	-1.65601252081455	NC	vitreous	Yes	Orbitrap Fusion
174	Data7	NC1	O15537	0.944512292877711	NC	vitreous	Yes	Orbitrap Fusion
175	Data7	NC1	O43405	-0.255173656993645	NC	vitreous	Yes	Orbitrap Fusion
176	Data7	NC1	O43493	-0.469613562551346	NC	vitreous	Yes	Orbitrap Fusion
177	Data7	NC1	O43505	1.35930306890624	NC	vitreous	Yes	Orbitrap Fusion
178	Data7	NC1	O43529	-1.12254984565476	NC	vitreous	Yes	Orbitrap Fusion
179	Data7	NC1	O43827	-0.941753625915428	NC	vitreous	Yes	Orbitrap Fusion
180	Data7	NC1	O43866	-0.509083331653002	NC	vitreous	Yes	Orbitrap Fusion
181	Data7	NC1	O60241	-1.50127520255653	NC	vitreous	Yes	Orbitrap Fusion
182	Data7	NC1	O60243	-0.375682604636997	NC	vitreous	Yes	Orbitrap Fusion
183	Data7	NC1	O60279	-1.17532024412316	NC	vitreous	Yes	Orbitrap Fusion
184	Data7	NC1	O60568	-0.489603544256109	NC	vitreous	Yes	Orbitrap Fusion
185	Data7	NC1	O60888-2	0.0736157315362178	NC	vitreous	Yes	Orbitrap Fusion
186	Data7	NC1	O75063	-1.96792341718717	NC	vitreous	Yes	Orbitrap Fusion
187	Data7	NC1	O75093	0.331605861671869	NC	vitreous	Yes	Orbitrap Fusion
188	Data7	NC1	O75095	-0.89490673353656	NC	vitreous	Yes	Orbitrap Fusion
189	Data7	NC1	O75326	1.55922873342737	NC	vitreous	Yes	Orbitrap Fusion
190	Data7	NC1	O75382	-0.418519039859808	NC	vitreous	Yes	Orbitrap Fusion
191	Data7	NC1	O75493	-0.517060005189316	NC	vitreous	Yes	Orbitrap Fusion
192	Data7	NC1	O75509	-1.48397520721534	NC	vitreous	Yes	Orbitrap Fusion
193	Data7	NC1	O75629	-0.0640964973255325	NC	vitreous	Yes	Orbitrap Fusion
194	Data7	NC1	O75636	-0.765161248709174	NC	vitreous	Yes	Orbitrap Fusion
